,USA,EUR,IND,CHN,MEX,CAN,BRA,SGP,AUS,GHA
USA,0.0,4905.0,7484.0,6925.0,1883.0,456.0,4219.0,9660.0,9907.0,5267.0
EUR,4905.0,0.0,4181.0,5144.0,5606.0,3402.0,5377.0,6760.0,10593.0,3034.0
IND,7484.0,4181.0,0.0,2346.0,9106.0,7044.0,8848.0,2579.0,6433.0,5273.0
CHN,6925.0,5144.0,2346.0,0.0,7740.0,6492.0,10519.0,2783.0,5599.0,7340.0
MEX,1883.0,5606.0,9106.0,7740.0,0.0,2239.0,4245.0,10320.0,8187.0,6667.0
CAN,456.0,3402.0,7044.0,6492.0,2239.0,0.0,4572.0,9209.0,10009.0,5241.0
BRA,4219.0,5377.0,8848.0,10519.0,4245.0,4572.0,0.0,10269.0,8736.0,3579.0
SGP,9660.0,6760.0,2579.0,2783.0,10320.0,9209.0,10269.0,0.0,3859.0,7177.0
AUS,9907.0,10593.0,6433.0,5599.0,8187.0,10009.0,8736.0,3859.0,0.0,9605.0
GHA,5267.0,3034.0,5273.0,7340.0,6667.0,5241.0,3579.0,7177.0,9605.0,0.0
