n,c,g,x
Aruba,ABW,3395793854.7486,
Africa Eastern and Southern,AFE,1000834077088.55,
Afghanistan,AFG,18904502222.2108,
Africa Western and Central,AFW,822538393591.447,
Angola,AGO,69309110145.7687,
Albania,ALB,15401826080.5183,
Andorra,AND,3155149347.92151,
Arab World,ARB,2868890920845.12,
United Arab Emirates,ARE,417989721742.682,
Argentina,ARG,447754686715.081,
Armenia,ARM,13619290545.8131,
American Samoa,ASM,647000000,
Antigua and Barbuda,ATG,1675403703.7037,
Australia,AUS,1392218527563.26,
Austria,AUT,444621176100.54,
Azerbaijan,AZE,48174235294.1176,
Burundi,BDI,2576518879.39881,
Belgium,BEL,535865692402.342,
Benin,BEN,14391686309.0337,
Burkina Faso,BFA,16178161666.1334,
Bangladesh,BGD,351238397263.802,
Bulgaria,BGR,68911930627.8977,
Bahrain,BHR,38653318085.1064,
"Bahamas, The",BHS,13058700000,
Bosnia and Herzegovina,BIH,20482603346.4473,
Belarus,BLR,64410112583.362,
Belize,BLZ,2416500000,
Bermuda,BMU,7423465000,
Bolivia,BOL,40895322850.9407,
Brazil,BRA,1873288159000.64,
Barbados,BRB,5324250000,
Brunei Darussalam,BRN,13469240162.5496,
Bhutan,BTN,2535655609.45889,
Botswana,BWA,16725908661.9419,
Central African Republic,CAF,2221301350.75537,
Canada,CAN,1743725183672.52,
Central Europe and the Baltics,CEB,1674114230083.25,
Switzerland,CHE,721369112726.724,
Channel Islands,CHI,10381669645.1366,
Chile,CHL,278493308134.096,
China,CHN,14279968485748,
Cote d'Ivoire,CIV,59898479821.1946,
Cameroon,CMR,39670976440.3158,
"Congo, Dem. Rep.",COD,51775829868.7669,
"Congo, Rep.",COG,12750338736.1661,
Colombia,COL,323031701210.767,
Comoros,COM,1195019531.03671,
Cabo Verde,CPV,2266752197.42617,
Costa Rica,CRI,64417670555.7821,
Caribbean small states,CSS,77282796215.9198,
Cuba,CUB,103428000000,
Curacao,CUW,2995185474.86034,
Cayman Islands,CYM,5941896599.57333,
Cyprus,CYP,25945194240.4544,
Czechia,CZE,252548179964.897,
Germany,DEU,3888226035921.49,
Djibouti,DJI,3088853638.56832,
Dominica,DMA,611537037.037037,
Denmark,DNK,346498737961.635,
Dominican Republic,DOM,88941371980.2651,
Algeria,DZA,171760290068.157,
East Asia & Pacific (excluding high income),EAP,17207134431205.9,
Early-demographic dividend,EAR,11696252034573.3,
East Asia & Pacific,EAS,27023995393949,
Europe & Central Asia (excluding high income),ECA,3248044237780.69,
Europe & Central Asia,ECS,22910270792580.6,
Ecuador,ECU,108108009000,
"Egypt, Arab Rep.",EGY,318678815489.749,
Euro area,EMU,13418360523881.5,
Eritrea,ERI,,
